material,weight_kg,transport_mode,transport_distance_km,manufacturing_intensity,material_co2,manufacturing_co2,transport_co2,total_co2_kg,material_encoded,transport_encoded,intensity_encoded
Eggs,0.235,SEA,15049.3,LOW,1.128,0.106,0.053,1.263,10,3,1
Butter,0.963,ROAD,1097.2,LOW,11.558,0.433,0.127,11.382,5,2,1
Potatoes,1.386,ROAD,2631.3,LOW,0.693,0.346,0.438,1.48,25,2,1
Pork,3.304,ROAD,208.1,MEDIUM,39.982,5.452,0.082,48.73,24,2,2
Lettuce,7.877,RAIL,4652.8,LOW,7.09,1.969,0.916,10.03,17,1,1
Cotton,2.332,ROAD,239.5,MEDIUM,12.826,4.548,0.067,17.354,9,2,2
Wool,1.562,SEA,14590.8,LOW,16.24,1.093,0.342,16.585,34,3,1
Fish_Wild,0.87,SEA,15708.5,LOW,2.522,0.348,0.205,3.107,12,3,1
Fish_Wild,0.168,SEA,5996.1,MEDIUM,0.486,0.201,0.015,0.711,12,3,2
Fish_Farmed,0.687,RAIL,1380.8,LOW,3.502,0.309,0.024,4.214,11,1,1
Beans,0.338,ROAD,2241.4,LOW,0.338,0.101,0.091,0.518,3,2,1
Tomatoes,2.386,SEA,17924.4,LOW,5.011,0.716,0.642,5.953,30,3,1
Bananas,0.12,SEA,5746.7,LOW,0.084,0.03,0.01,0.126,2,3,1
Beans,3.723,SEA,15408.0,LOW,3.723,1.117,0.86,5.715,3,3,1
Beef,1.11,ROAD,2134.6,HIGH,29.977,4.663,0.284,31.958,4,2,0
Bananas,67.895,SEA,16407.0,MEDIUM,47.526,50.921,16.709,113.67,2,3,2
Nuts,2.35,ROAD,1388.8,HIGH,5.404,5.757,0.392,11.415,19,2,0
Polyester,0.104,ROAD,1758.4,LOW,0.644,0.078,0.022,0.73,23,2,1
Fish_Farmed,2.073,SEA,11338.1,LOW,10.571,0.933,0.353,13.001,11,3,1
Fish_Wild,1.757,ROAD,1787.0,LOW,5.097,0.703,0.377,5.923,12,2,1
Butter,1.717,ROAD,1010.0,LOW,20.602,0.773,0.208,21.872,5,2,1
Chicken,15.387,AIR,12533.4,LOW,106.169,7.693,183.206,283.013,7,0,1
Wheat,4.193,SEA,5275.7,LOW,5.87,1.468,0.332,7.898,32,3,1
Paper,2.057,ROAD,1243.3,LOW,2.674,1.028,0.307,3.925,21,2,1
Wool,0.287,ROAD,799.7,LOW,2.986,0.201,0.028,3.514,34,2,1
Milk,55.297,SEA,7727.1,MEDIUM,105.065,58.062,6.409,161.107,18,3,2
Turkey,0.555,ROAD,1434.1,HIGH,6.053,1.944,0.096,8.729,31,2,0
Fish_Wild,2.474,SEA,7751.1,LOW,7.173,0.989,0.288,8.723,12,3,1
Cotton,1.363,SEA,9194.0,LOW,7.496,0.886,0.188,8.663,9,3,1
Nuts,0.322,ROAD,1694.4,HIGH,0.742,0.79,0.066,1.695,19,2,0
Leather,0.618,ROAD,1339.6,MEDIUM,10.51,1.855,0.099,12.664,15,2,2
Lentils,0.552,SEA,19756.0,MEDIUM,0.496,0.496,0.163,1.156,16,3,2
Milk,0.952,RAIL,2875.7,MEDIUM,1.809,1.0,0.068,2.893,18,1,2
Lamb,6.879,SEA,17268.6,MEDIUM,165.088,12.382,1.782,193.341,14,3,2
Fish_Farmed,1.761,ROAD,2568.9,LOW,8.982,0.793,0.543,10.153,11,2,1
Tomatoes,1.702,AIR,11313.9,LOW,3.574,0.511,18.295,22.321,30,0,1
Lettuce,2.035,RAIL,4442.1,HIGH,1.832,3.561,0.226,5.678,17,1,0
Lentils,2.759,SEA,9075.6,LOW,2.483,0.828,0.376,3.833,16,3,1
Plastic,6.259,RAIL,2143.3,LOW,21.906,5.007,0.335,27.263,22,1,1
Steel,3.571,ROAD,1014.5,HIGH,10.0,22.5,0.435,33.069,28,2,0
Lettuce,0.843,ROAD,2886.7,MEDIUM,0.759,0.632,0.292,1.63,17,2,2
Tofu,0.13,ROAD,2257.7,MEDIUM,0.261,0.157,0.035,0.449,29,2,2
Nuts,52.987,ROAD,1096.8,HIGH,121.87,129.818,6.974,262.261,19,2,0
Apples,7.341,ROAD,815.4,LOW,2.936,1.835,0.718,6.102,1,2,1
Milk,1.232,ROAD,1502.5,LOW,2.341,0.431,0.222,3.03,18,2,1
Cheese,2.613,SEA,18123.5,HIGH,35.271,9.144,0.71,45.981,6,3,0
Cheese,3.833,ROAD,2839.7,MEDIUM,51.747,5.75,1.306,57.251,6,2,2
Glass,0.223,ROAD,1650.6,MEDIUM,0.2,0.401,0.044,0.652,13,2,2
Nuts,0.29,SEA,10888.8,HIGH,0.668,0.712,0.047,1.517,19,3,0
Lentils,0.877,ROAD,327.5,MEDIUM,0.789,0.789,0.034,1.676,16,2,2
Chicken,0.476,ROAD,710.1,MEDIUM,3.286,0.714,0.041,4.255,7,2,2
Fish_Farmed,8.629,SEA,15801.5,LOW,44.01,3.883,2.045,51.856,11,3,1
Rice,17.987,ROAD,2205.5,LOW,71.948,7.195,4.76,85.551,26,2,1
Cotton,3.645,AIR,13052.2,MEDIUM,20.048,7.108,45.198,72.055,9,0,2
Cotton,5.086,SEA,13703.4,MEDIUM,27.972,9.917,1.045,36.554,9,3,2
Shrimp,2.185,ROAD,2648.6,HIGH,39.321,9.939,0.694,50.529,27,2,0
Chicken,0.532,RAIL,2106.5,LOW,3.673,0.266,0.028,3.859,7,1,1
Oats,6.476,RAIL,2302.6,LOW,10.361,2.267,0.373,12.457,20,1,1
Lamb,2.929,ROAD,1969.3,HIGH,70.306,12.304,0.692,79.714,14,2,0
Shrimp,2.224,ROAD,1829.5,MEDIUM,40.033,4.337,0.488,45.754,27,2,2
Wool,2.003,RAIL,4876.9,LOW,20.835,1.402,0.244,21.293,34,1,1
Apples,0.396,ROAD,1938.6,LOW,0.158,0.099,0.092,0.339,1,2,1
Paper,5.841,AIR,13576.1,HIGH,7.593,20.442,75.329,106.985,21,0,0
Pork,3.04,SEA,6652.6,HIGH,36.785,11.704,0.303,50.053,24,3,0
Plastic,4.024,SEA,9749.0,MEDIUM,14.084,9.657,0.588,24.928,22,3,2
Milk,8.607,RAIL,1843.2,LOW,16.354,3.013,0.397,20.771,18,1,1
Potatoes,5.447,ROAD,1577.0,LOW,2.724,1.362,1.031,5.157,25,2,1
Tomatoes,0.178,SEA,18942.6,HIGH,0.374,0.374,0.051,0.808,30,3,0
Plastic,9.558,ROAD,1522.8,LOW,33.454,7.647,1.747,47.347,22,2,1
Cotton,11.333,SEA,18237.1,LOW,62.331,7.366,3.1,74.503,9,3,1
Lettuce,0.606,ROAD,1064.7,LOW,0.545,0.151,0.077,0.841,17,2,1
Lettuce,14.449,ROAD,1053.6,MEDIUM,13.004,10.837,1.827,26.388,17,2,2
Leather,1.079,AIR,6247.0,HIGH,18.335,7.55,6.401,32.261,15,0,0
Wood,2.264,ROAD,2796.0,MEDIUM,1.132,2.717,0.76,4.599,33,2,2
Oats,12.474,ROAD,2429.2,MEDIUM,19.958,13.098,3.636,35.522,20,2,2
Leather,1.44,SEA,18119.1,HIGH,24.484,10.082,0.391,35.746,15,3,0
Nuts,3.489,AIR,9848.8,LOW,8.024,1.221,32.641,39.58,19,0,1
Nuts,0.533,AIR,2178.5,MEDIUM,1.225,0.559,1.103,2.585,19,0,2
Cotton,1.369,ROAD,2673.5,LOW,7.531,0.89,0.439,8.391,9,2,1
Butter,1.866,ROAD,92.9,LOW,22.388,0.84,0.021,23.786,5,2,1
Plastic,0.292,SEA,6544.2,MEDIUM,1.023,0.702,0.029,1.826,22,3,2
Oats,0.978,RAIL,1303.1,MEDIUM,1.565,1.027,0.032,2.725,20,1,2
Milk,8.256,ROAD,2801.3,MEDIUM,15.687,8.669,2.775,28.083,18,2,2
Glass,4.876,SEA,9404.5,HIGH,4.388,20.479,0.688,23.79,13,3,0
Milk,1.651,ROAD,1206.3,LOW,3.136,0.578,0.239,4.187,18,2,1
Lettuce,15.969,ROAD,52.1,MEDIUM,14.372,11.977,0.1,25.28,17,2,2
Aluminum,0.917,SEA,5567.3,MEDIUM,7.518,3.438,0.077,10.693,0,3,2
Pork,0.497,RAIL,1388.6,HIGH,6.01,1.912,0.017,7.332,24,1,0
Rice,0.278,ROAD,797.8,MEDIUM,1.113,0.334,0.027,1.446,26,2,2
Potatoes,1.762,ROAD,1692.4,MEDIUM,0.881,1.321,0.358,2.638,25,2,2
Lamb,1.358,ROAD,330.4,MEDIUM,32.58,2.444,0.054,35.847,14,2,2
Tomatoes,2.472,SEA,11834.9,LOW,5.191,0.742,0.439,6.287,30,3,1
Butter,0.54,RAIL,2927.9,MEDIUM,6.474,0.728,0.039,7.795,5,1,2
Pork,1.532,ROAD,1862.9,HIGH,18.539,5.899,0.343,23.853,24,2,0
Fish_Farmed,2.423,SEA,17548.3,LOW,12.356,1.09,0.638,13.493,11,3,1
Polyester,0.166,ROAD,2651.6,LOW,1.029,0.125,0.053,1.295,23,2,1
Tomatoes,0.281,RAIL,1129.8,MEDIUM,0.589,0.253,0.008,0.893,30,1,2
Leather,25.798,ROAD,1191.8,HIGH,438.564,180.585,3.69,680.996,15,2,0
Aluminum,1.528,ROAD,2669.1,MEDIUM,12.531,5.731,0.489,18.133,0,2,2
Bananas,0.931,SEA,11002.3,LOW,0.651,0.233,0.154,0.97,2,3,1
Rice,1.199,ROAD,2553.9,MEDIUM,4.795,1.439,0.367,7.053,26,2,2
Paper,0.278,ROAD,1007.4,HIGH,0.361,0.972,0.034,1.246,21,2,0
Tofu,0.953,ROAD,2647.9,LOW,1.907,0.381,0.303,2.757,29,2,1
Wool,14.826,ROAD,2318.5,MEDIUM,154.193,31.135,4.125,182.914,34,2,2
Tofu,22.544,SEA,11543.7,MEDIUM,45.087,27.052,3.904,74.475,29,3,2
Cheese,0.418,ROAD,362.1,HIGH,5.639,1.462,0.018,6.715,6,2,0
Lettuce,2.266,SEA,19661.3,HIGH,2.039,3.965,0.668,6.515,17,3,0
Aluminum,0.507,SEA,19973.3,HIGH,4.155,4.433,0.152,8.679,0,3,0
Lentils,8.738,RAIL,986.8,LOW,7.864,2.621,0.216,9.982,16,1,1
Corn,0.378,SEA,6184.7,HIGH,0.416,0.926,0.035,1.467,8,3,0
Wool,4.29,ROAD,820.7,HIGH,44.612,21.019,0.422,63.496,34,2,0
Leather,3.571,SEA,6265.8,MEDIUM,60.71,10.714,0.336,72.311,15,3,2
Wool,1.722,SEA,18825.9,LOW,17.914,1.206,0.486,20.499,34,3,1
Pork,0.548,SEA,15324.4,MEDIUM,6.628,0.904,0.126,7.904,24,3,2
Cheese,0.145,ROAD,928.1,HIGH,1.961,0.508,0.016,2.461,6,2,0
Tomatoes,0.395,SEA,9722.6,LOW,0.829,0.118,0.058,1.039,30,3,1
Polyester,0.58,ROAD,2729.9,LOW,3.596,0.435,0.19,4.078,23,2,1
Corn,0.479,RAIL,689.4,HIGH,0.527,1.174,0.008,1.598,8,1,0
Cheese,4.634,AIR,12912.3,MEDIUM,62.559,6.951,56.844,119.532,6,0,2
Pork,3.137,ROAD,936.4,HIGH,37.961,12.078,0.353,44.215,24,2,0
Wood,0.574,SEA,10046.9,MEDIUM,0.287,0.689,0.087,1.098,33,3,2
Oats,11.801,SEA,5160.1,LOW,18.881,4.13,0.913,23.56,20,3,1
Glass,0.254,ROAD,2629.5,LOW,0.229,0.152,0.08,0.494,13,2,1
Wool,3.778,SEA,19595.7,LOW,39.287,2.644,1.11,42.085,34,3,1
Cotton,0.982,SEA,15612.8,LOW,5.399,0.638,0.23,6.834,9,3,1
Glass,0.901,SEA,15588.2,HIGH,0.811,3.784,0.211,5.225,13,3,0
Lamb,6.911,SEA,7748.0,HIGH,165.858,29.025,0.803,202.194,14,3,0
Butter,20.26,SEA,19229.8,HIGH,243.117,63.818,5.844,325.638,5,3,0
Eggs,0.136,ROAD,1733.5,MEDIUM,0.654,0.184,0.028,0.857,10,2,2
Beef,10.895,ROAD,2508.2,MEDIUM,294.17,19.611,3.279,307.932,4,2,2
Apples,2.218,RAIL,4766.9,LOW,0.887,0.554,0.264,1.853,1,1,1
Paper,2.985,ROAD,1614.9,HIGH,3.88,10.447,0.578,15.129,21,2,0
Tomatoes,0.988,SEA,10589.1,MEDIUM,2.074,0.889,0.157,3.207,30,3,2
Oats,1.708,RAIL,598.6,LOW,2.732,0.598,0.026,3.428,20,1,1
Cotton,4.004,ROAD,1189.2,MEDIUM,22.02,7.807,0.571,29.476,9,2,2
Wheat,0.36,ROAD,2239.8,MEDIUM,0.505,0.379,0.097,1.002,32,2,2
Chicken,2.346,AIR,8275.5,LOW,16.19,1.173,18.446,35.121,7,0,1
Polyester,0.558,SEA,12947.5,LOW,3.46,0.419,0.108,4.148,23,3,1
Eggs,2.45,SEA,5003.6,LOW,11.761,1.103,0.184,12.516,10,3,1
Nuts,41.33,ROAD,1452.1,MEDIUM,95.059,43.396,7.202,151.536,19,2,2
Steel,5.091,ROAD,1242.2,HIGH,14.255,32.075,0.759,43.468,28,2,0
Wood,2.981,AIR,5948.4,HIGH,1.49,8.346,16.845,26.498,33,0,0
Beans,4.131,SEA,18434.8,LOW,4.131,1.239,1.142,6.139,3,3,1
Bananas,0.62,ROAD,2360.7,MEDIUM,0.434,0.465,0.176,1.156,2,2,2
Apples,14.298,RAIL,638.0,LOW,5.719,3.574,0.228,9.488,1,1,1
Tomatoes,0.775,SEA,17240.5,MEDIUM,1.628,0.698,0.2,2.757,30,3,2
Nuts,0.169,ROAD,900.0,LOW,0.388,0.059,0.018,0.462,19,2,1
Eggs,0.737,RAIL,2713.0,LOW,3.538,0.332,0.05,3.692,10,1,1
Wood,0.706,SEA,10261.1,LOW,0.353,0.282,0.109,0.758,33,3,1
Oats,3.549,ROAD,58.4,LOW,5.678,1.242,0.025,7.571,20,2,1
Shrimp,1.265,ROAD,1333.9,HIGH,22.763,5.754,0.202,27.402,27,2,0
Beans,0.595,SEA,16411.4,LOW,0.595,0.178,0.146,0.897,3,3,1
Lamb,1.926,ROAD,974.4,MEDIUM,46.215,3.466,0.225,43.965,14,2,2
Apples,3.788,SEA,6887.0,LOW,1.515,0.947,0.391,2.564,1,3,1
Aluminum,0.148,SEA,11641.5,MEDIUM,1.211,0.554,0.026,1.818,0,3,2
Steel,7.363,ROAD,2068.8,HIGH,20.617,46.388,1.828,71.82,28,2,0
Wool,5.921,SEA,19715.4,LOW,61.575,4.144,1.751,66.6,34,3,1
Glass,3.26,AIR,12619.4,HIGH,2.934,13.693,39.086,53.775,13,0,0
Wood,0.38,ROAD,2103.3,MEDIUM,0.19,0.456,0.096,0.795,33,2,2
Chicken,0.432,RAIL,3316.3,LOW,2.983,0.216,0.036,3.232,7,1,1
Tomatoes,2.395,SEA,8386.4,HIGH,5.03,5.03,0.301,9.829,30,3,0
Fish_Farmed,4.53,ROAD,426.3,MEDIUM,23.102,6.115,0.232,30.34,11,2,2
Pork,1.421,ROAD,2364.4,MEDIUM,17.196,2.345,0.403,20.873,24,2,2
Lamb,0.511,AIR,8232.4,HIGH,12.267,2.147,3.997,19.021,14,0,0
Butter,0.874,SEA,11276.7,HIGH,10.488,2.753,0.148,13.059,5,3,0
Tofu,0.202,AIR,9866.3,LOW,0.403,0.081,1.89,2.353,29,0,1
Tofu,0.71,SEA,5888.3,LOW,1.42,0.284,0.063,1.749,29,3,1
Beans,0.509,ROAD,241.8,MEDIUM,0.509,0.458,0.015,1.013,3,2,2
Fish_Farmed,3.042,RAIL,732.8,LOW,15.513,1.369,0.056,18.443,11,1,1
Steel,1.146,ROAD,1414.2,HIGH,3.21,7.222,0.195,11.341,28,2,0
Beef,5.873,ROAD,532.7,MEDIUM,158.567,10.571,0.375,155.829,4,2,2
Fish_Farmed,3.016,ROAD,2442.9,LOW,15.381,1.357,0.884,17.592,11,2,1
Plastic,1.39,RAIL,4203.9,LOW,4.866,1.112,0.146,5.85,22,1,1
Fish_Wild,0.794,SEA,12962.9,LOW,2.304,0.318,0.154,2.636,12,3,1
Beans,9.483,ROAD,2905.2,MEDIUM,9.483,8.535,3.306,22.286,3,2,2
Plastic,0.144,ROAD,1763.2,LOW,0.502,0.115,0.03,0.607,22,2,1
Beef,2.669,ROAD,1569.0,MEDIUM,72.067,4.804,0.503,71.755,4,2,2
Tofu,0.964,ROAD,2927.8,LOW,1.927,0.385,0.339,2.737,29,2,1
Beans,3.375,ROAD,2910.2,MEDIUM,3.375,3.037,1.179,7.576,3,2,2
Paper,1.911,SEA,9131.9,HIGH,2.484,6.688,0.262,9.108,21,3,0
Steel,4.141,ROAD,1638.2,HIGH,11.595,26.089,0.814,38.495,28,2,0
Aluminum,0.095,ROAD,2942.9,HIGH,0.779,0.831,0.034,1.659,0,2,0
Tofu,1.104,SEA,16188.4,LOW,2.208,0.442,0.268,3.022,29,3,1
Cheese,0.613,AIR,3694.4,MEDIUM,8.276,0.92,2.151,10.923,6,0,2
Steel,0.064,SEA,10007.2,HIGH,0.18,0.404,0.01,0.591,28,3,0
Cheese,0.248,SEA,14810.3,MEDIUM,3.344,0.372,0.055,3.659,6,3,2
Lettuce,6.218,SEA,16785.0,HIGH,5.596,10.882,1.566,18.225,17,3,0
Turkey,2.499,ROAD,2837.7,HIGH,27.243,8.748,0.851,35.58,31,2,0
Bananas,1.01,ROAD,2072.5,MEDIUM,0.707,0.758,0.251,1.757,2,2,2
Chicken,4.651,SEA,5229.0,LOW,32.092,2.326,0.365,30.074,7,3,1
Shrimp,2.255,ROAD,1591.6,HIGH,40.584,10.259,0.431,52.505,27,2,0
Oats,5.07,AIR,8680.4,MEDIUM,8.111,5.323,41.806,57.386,20,0,2
Lamb,1.014,SEA,11398.2,MEDIUM,24.336,1.825,0.173,27.257,14,3,2
Cotton,0.687,SEA,9209.5,MEDIUM,3.778,1.34,0.095,4.75,9,3,2
Oats,5.579,SEA,10402.4,LOW,8.927,1.953,0.871,12.147,20,3,1
Fish_Wild,3.08,ROAD,2079.7,LOW,8.931,1.232,0.769,10.341,12,2,1
Eggs,1.497,ROAD,1384.4,MEDIUM,7.184,2.021,0.249,9.831,10,2,2
Eggs,0.67,ROAD,2108.1,HIGH,3.216,2.11,0.169,5.58,10,2,0
Leather,11.012,RAIL,655.6,HIGH,187.202,77.083,0.18,245.873,15,1,0
Wheat,5.801,ROAD,2038.9,MEDIUM,8.122,6.091,1.419,15.569,32,2,2
Plastic,5.693,ROAD,2544.8,LOW,19.926,4.555,1.739,25.514,22,2,1
Turkey,1.435,AIR,4171.7,MEDIUM,15.637,2.152,5.686,23.914,31,0,2
Fish_Farmed,1.967,ROAD,2493.2,LOW,10.034,0.885,0.589,11.117,11,2,1
Paper,4.367,ROAD,1649.0,MEDIUM,5.677,6.55,0.864,13.309,21,2,2
Leather,1.429,SEA,10897.6,HIGH,24.292,10.003,0.234,36.116,15,3,0
Leather,0.767,RAIL,1486.5,HIGH,13.036,5.368,0.028,17.624,15,1,0
Steel,0.519,SEA,9690.2,MEDIUM,1.453,1.402,0.075,2.828,28,3,2
Tomatoes,0.16,RAIL,3861.4,LOW,0.337,0.048,0.015,0.353,30,1,1
Turkey,4.903,AIR,7237.6,HIGH,53.444,17.161,33.712,106.645,31,0,0
Beef,0.129,ROAD,1983.4,MEDIUM,3.48,0.232,0.031,3.82,4,2,2
Tomatoes,3.82,RAIL,2541.1,MEDIUM,8.022,3.438,0.243,12.022,30,1,2
Turkey,1.603,SEA,10544.6,HIGH,17.468,5.609,0.253,22.362,31,3,0
Cotton,4.749,SEA,19717.0,MEDIUM,26.117,9.26,1.404,37.069,9,3,2
Oats,6.975,AIR,9858.4,LOW,11.16,2.441,65.323,78.959,20,0,1
Beans,0.993,ROAD,2038.9,LOW,0.993,0.298,0.243,1.589,3,2,1
Lettuce,2.661,ROAD,1689.3,HIGH,2.395,4.658,0.54,7.606,17,2,0
Wood,5.55,SEA,10679.6,LOW,2.775,2.22,0.889,5.888,33,3,1
Leather,2.259,ROAD,1348.4,MEDIUM,38.407,6.778,0.366,41.669,15,2,2
Lamb,7.075,RAIL,2597.8,MEDIUM,169.804,12.735,0.46,189.265,14,1,2
Beans,12.563,SEA,7336.3,MEDIUM,12.563,11.307,1.383,22.316,3,3,2
Bananas,2.936,AIR,2826.9,LOW,2.056,0.734,7.886,10.128,2,0,1
Leather,0.892,SEA,12495.6,HIGH,15.164,6.244,0.167,21.63,15,3,0
Fish_Wild,0.414,AIR,12506.0,LOW,1.2,0.166,4.916,6.316,12,0,1
Turkey,11.29,ROAD,1963.2,HIGH,123.056,39.513,2.66,157.751,31,2,0
Apples,0.97,ROAD,85.1,LOW,0.388,0.243,0.01,0.641,1,2,1
Butter,2.807,ROAD,1440.0,HIGH,33.683,8.842,0.485,43.227,5,2,0
Fish_Wild,0.43,SEA,12566.3,MEDIUM,1.246,0.516,0.081,1.774,12,3,2
Turkey,0.449,ROAD,1542.9,MEDIUM,4.897,0.674,0.083,5.84,31,2,2
Bananas,16.777,RAIL,2579.4,LOW,11.744,4.194,1.082,17.239,2,1,1
Eggs,5.885,RAIL,4194.5,HIGH,28.248,18.538,0.617,49.628,10,1,0
Lentils,0.327,SEA,16150.0,LOW,0.295,0.098,0.079,0.451,16,3,1
Cheese,2.063,SEA,6199.7,MEDIUM,27.857,3.095,0.192,31.075,6,3,2
Eggs,0.633,SEA,8498.8,LOW,3.037,0.285,0.081,3.318,10,3,1
Lamb,0.394,SEA,6853.6,MEDIUM,9.465,0.71,0.041,10.224,14,3,2
Polyester,0.658,ROAD,2504.7,LOW,4.08,0.494,0.198,4.92,23,2,1
Wool,0.695,SEA,12378.1,HIGH,7.225,3.404,0.129,10.153,34,3,0
Corn,2.296,RAIL,989.1,MEDIUM,2.526,2.411,0.057,5.503,8,1,2
Eggs,1.061,SEA,7552.3,LOW,5.094,0.478,0.12,5.773,10,3,1
Tomatoes,2.64,ROAD,2845.8,LOW,5.543,0.792,0.901,6.639,30,2,1
Fish_Farmed,0.723,SEA,17868.3,LOW,3.689,0.326,0.194,4.453,11,3,1
Oats,0.447,ROAD,2210.1,LOW,0.715,0.156,0.118,1.116,20,2,1
Bananas,3.886,AIR,3828.5,MEDIUM,2.72,2.915,14.134,20.07,2,0,2
Cheese,0.477,ROAD,423.3,MEDIUM,6.438,0.715,0.024,7.079,6,2,2
Milk,0.129,SEA,13282.4,MEDIUM,0.244,0.135,0.026,0.403,18,3,2
Chicken,1.221,ROAD,2544.9,LOW,8.425,0.611,0.373,9.259,7,2,1
Lettuce,0.9,ROAD,976.4,HIGH,0.81,1.575,0.105,2.46,17,2,0
Oats,0.286,RAIL,3574.1,MEDIUM,0.458,0.3,0.026,0.821,20,1,2
Wood,0.186,ROAD,2533.7,LOW,0.093,0.075,0.057,0.21,33,2,1
Lamb,3.682,SEA,9386.6,HIGH,88.361,15.463,0.518,110.21,14,3,0
Pork,0.984,RAIL,291.4,HIGH,11.911,3.79,0.007,16.171,24,1,0
Milk,2.219,ROAD,230.8,LOW,4.217,0.777,0.061,5.056,18,2,1
Butter,0.407,RAIL,2315.7,HIGH,4.881,1.281,0.024,6.182,5,1,0
Milk,0.587,ROAD,754.4,MEDIUM,1.115,0.616,0.053,1.805,18,2,2
Beef,0.697,ROAD,1964.8,MEDIUM,18.809,1.254,0.164,21.956,4,2,2
Bananas,0.535,AIR,13918.5,LOW,0.375,0.134,7.074,7.862,2,0,1
Beef,1.183,SEA,8214.5,HIGH,31.931,4.967,0.146,35.799,4,3,0
Beans,1.605,ROAD,2084.6,MEDIUM,1.605,1.444,0.401,3.441,3,2,2
Beans,0.773,SEA,17476.8,MEDIUM,0.773,0.696,0.203,1.647,3,3,2
Potatoes,4.23,ROAD,203.1,MEDIUM,2.115,3.173,0.103,4.958,25,2,2
Eggs,1.36,RAIL,3946.5,MEDIUM,6.528,1.836,0.134,8.722,10,1,2
Chicken,8.297,ROAD,2959.9,MEDIUM,57.249,12.445,2.947,77.885,7,2,2
Chicken,1.224,RAIL,3098.6,MEDIUM,8.442,1.835,0.095,10.492,7,1,2
Beans,1.876,ROAD,514.6,LOW,1.876,0.563,0.116,2.499,3,2,1
Tofu,6.247,SEA,6624.3,LOW,12.495,2.499,0.621,15.845,29,3,1
Apples,1.351,SEA,16954.2,LOW,0.541,0.338,0.344,1.209,1,3,1
Glass,0.25,ROAD,1200.7,HIGH,0.225,1.051,0.036,1.251,13,2,0
Butter,0.798,SEA,17380.7,LOW,9.571,0.359,0.208,10.545,5,3,1
Wheat,0.211,SEA,7552.0,MEDIUM,0.296,0.222,0.024,0.554,32,3,2
Leather,1.763,SEA,10113.2,HIGH,29.969,12.34,0.267,41.669,15,3,0
Turkey,0.058,AIR,9238.6,LOW,0.635,0.029,0.512,1.24,31,0,1
Eggs,0.325,ROAD,1671.0,LOW,1.56,0.146,0.065,1.783,10,2,1
Turkey,1.039,ROAD,1685.3,MEDIUM,11.33,1.559,0.21,12.965,31,2,2
Pork,0.318,ROAD,1963.7,HIGH,3.845,1.223,0.075,5.446,24,2,0
Beef,0.253,ROAD,2515.4,HIGH,6.843,1.064,0.076,8.535,4,2,0
Fish_Wild,20.937,ROAD,1698.3,LOW,60.717,8.375,4.267,71.102,12,2,1
Lamb,5.499,AIR,2536.0,MEDIUM,131.987,9.899,13.249,139.506,14,0,2
Turkey,0.286,SEA,13673.4,HIGH,3.115,1.0,0.059,4.422,31,3,0
Steel,0.224,SEA,6258.5,MEDIUM,0.628,0.606,0.021,1.294,28,3,2
Pork,1.969,ROAD,1816.0,MEDIUM,23.819,3.248,0.429,27.188,24,2,2
Wood,3.525,ROAD,951.5,MEDIUM,1.762,4.23,0.402,6.271,33,2,2
Rice,6.146,SEA,19954.9,LOW,24.585,2.459,1.84,25.976,26,3,1
Nuts,2.565,AIR,8767.4,MEDIUM,5.9,2.694,21.366,27.621,19,0,2
Fish_Farmed,12.823,ROAD,2954.7,LOW,65.395,5.77,4.546,78.177,11,2,1
Eggs,0.929,SEA,13569.8,MEDIUM,4.46,1.254,0.189,5.891,10,3,2
Apples,1.284,SEA,17596.5,MEDIUM,0.514,0.963,0.339,1.858,1,3,2
Turkey,0.699,SEA,18837.5,LOW,7.618,0.349,0.197,7.881,31,3,1
Lentils,0.875,ROAD,1419.8,LOW,0.787,0.262,0.149,1.28,16,2,1
Pork,1.309,RAIL,1477.9,HIGH,15.837,5.039,0.048,21.564,24,1,0
Butter,5.348,ROAD,1593.6,HIGH,64.178,16.847,1.023,83.965,5,2,0
Lettuce,0.799,ROAD,1025.8,LOW,0.719,0.2,0.098,0.961,17,2,1
Steel,5.536,ROAD,172.1,HIGH,15.501,34.877,0.114,51.393,28,2,0
Shrimp,2.145,RAIL,775.2,MEDIUM,38.604,4.182,0.042,40.986,27,1,2
Tofu,10.656,ROAD,516.4,LOW,21.312,4.262,0.66,26.383,29,2,1
Tofu,1.002,SEA,17168.5,LOW,2.005,0.401,0.258,2.568,29,3,1
Oats,0.786,AIR,10110.6,MEDIUM,1.257,0.825,7.546,9.973,20,0,2
Milk,3.926,SEA,10965.9,MEDIUM,7.46,4.123,0.646,13.485,18,3,2
Potatoes,2.83,ROAD,1823.2,MEDIUM,1.415,2.122,0.619,4.135,25,2,2
Cheese,2.173,ROAD,2053.8,MEDIUM,29.332,3.259,0.535,30.415,6,2,2
Wheat,17.745,SEA,12219.1,LOW,24.843,6.211,3.252,35.408,32,3,1
Wood,13.298,ROAD,1097.6,LOW,6.649,5.319,1.752,13.778,33,2,1
Polyester,18.768,ROAD,447.6,LOW,116.363,14.076,1.008,144.985,23,2,1
Beef,0.42,SEA,8601.0,HIGH,11.346,1.765,0.054,13.569,4,3,0
Aluminum,7.496,SEA,19400.2,HIGH,61.467,65.589,2.181,133.416,0,3,0
Fish_Wild,0.132,SEA,8988.4,LOW,0.382,0.053,0.018,0.463,12,3,1
